model_id,category,subset,subset_name,family,image,miou,dice,pixel_acc
slimsam_50,foundation_sam,6280-cast-iron-high,6280 Gray Cast Iron,Cast Iron,6280 x 20 (1).jpg,0.4500739796220391,0.5213486981850501,0.8284505208333334
slimsam_50,foundation_sam,6280-cast-iron-high,6280 Gray Cast Iron,Cast Iron,6280 x 20 (4).jpg,0.4449776583627382,0.5111027019768926,0.8302408854166666
slimsam_50,foundation_sam,5884-armor-steel,5884 Armor Steel,Steel,armor steel x 10 (3).jpg,0.3223983744315122,0.3967363271603075,0.6382107204861112
slimsam_50,foundation_sam,5884-armor-steel,5884 Armor Steel,Steel,armor steel x 5 (2).jpg,0.2912638687251275,0.3864429825022476,0.5565592447916666
slimsam_50,foundation_sam,5884-armor-steel,5884 Armor Steel,Steel,armor steel x 20 (3).jpg,0.6608771285360318,0.7948766192205301,0.8004014756944444
slimsam_50,foundation_sam,5884-armor-steel,5884 Armor Steel,Steel,armor steel x 20 (5).jpg,0.622108947581006,0.752936528075792,0.8241102430555556
slimsam_50,foundation_sam,418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (25).jpg,0.7246124347110797,0.8151263376568163,0.9765896267361112
slimsam_50,foundation_sam,418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (15).jpg,0.8449963174874827,0.91135807327711,0.9682074652777778
slimsam_50,foundation_sam,418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (20).jpg,0.7689667575472449,0.853247667752892,0.9794379340277778
slimsam_50,foundation_sam,418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (3).jpg,0.7794219655707028,0.8611601684702513,0.9832085503472222
slimsam_50,foundation_sam,418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (6).jpg,0.799619534403422,0.8780528828002108,0.9755859375
slimsam_50,foundation_sam,418-17-4ph-x20,418 Printed 17-4 PH Steel,Steel,x20 (8).jpg,0.4815127554836615,0.5732078930529374,0.8300238715277778
slimsam_50,foundation_sam,418-17-4ph-x20,418 Printed 17-4 PH Steel,Steel,x20 (18).jpg,0.4820614823624519,0.4919396828373008,0.9626736111111112
slimsam_50,foundation_sam,418-17-4ph-x20,418 Printed 17-4 PH Steel,Steel,x20 (19).jpg,0.4852787658616776,0.4949695354753757,0.9672580295138888
slimsam_50,foundation_sam,418-17-4ph-x20,418 Printed 17-4 PH Steel,Steel,x20 (15).jpg,0.4864959442301917,0.4978992120419938,0.966552734375
slimsam_77,foundation_sam,4130-steel,4130 Steel,Steel,4130x20 (2).jpg,0.3378026327308802,0.4048457864094701,0.6733127170138888
slimsam_77,foundation_sam,4130-steel,4130 Steel,Steel,4130x20 (17).jpg,0.2953150713656305,0.3885312505464882,0.5662706163194444
slimsam_77,foundation_sam,4130-steel,4130 Steel,Steel,4130x20 (5).jpg,0.2569669714030373,0.3406216492755783,0.5123697916666666
slimsam_77,foundation_sam,4130-steel,4130 Steel,Steel,4130x20 (7).jpg,0.2647834159744583,0.3602527316124921,0.5100640190972222
slimsam_77,foundation_sam,4130-steel,4130 Steel,Steel,4130x20 (19).jpg,0.272611499176617,0.354214800964938,0.5433485243055556
slimsam_77,foundation_sam,4130-steel,4130 Steel,Steel,4130x10 (15).jpg,0.2817765974334139,0.3796358344985094,0.5364312065972222
slimsam_77,foundation_sam,4130-steel,4130 Steel,Steel,4130x20 (13).jpg,0.2907893594901723,0.3836198454076774,0.5591634114583334
slimsam_77,foundation_sam,4130-steel,4130 Steel,Steel,4130x10 (13).jpg,0.2742267666188954,0.3715744240569166,0.5240614149305556
slimsam_77,foundation_sam,6280-cast-iron-low,6280 Gray Cast Iron,Cast Iron,6280 x 10 (4).jpg,0.2776010276674683,0.3890819559585592,0.5062662760416666
slimsam_77,foundation_sam,6280-cast-iron-low,6280 Gray Cast Iron,Cast Iron,6280 x 10 (11).jpg,0.2505582726090023,0.349538911513521,0.5517035590277778
slimsam_77,foundation_sam,6280-cast-iron-high,6280 Gray Cast Iron,Cast Iron,6280 x 20 (1).jpg,0.4426011483326335,0.5097230715406275,0.8255208333333334
slimsam_77,foundation_sam,6280-cast-iron-high,6280 Gray Cast Iron,Cast Iron,6280 x 20 (4).jpg,0.4490765340346391,0.5177896104623726,0.8313802083333334
slimsam_77,foundation_sam,5884-armor-steel,5884 Armor Steel,Steel,armor steel x 10 (3).jpg,0.3223137127203212,0.3968039930671994,0.6378580729166666
slimsam_77,foundation_sam,5884-armor-steel,5884 Armor Steel,Steel,armor steel x 5 (2).jpg,0.2909666293629868,0.3859485037909316,0.5563422309027778
slimsam_77,foundation_sam,5884-armor-steel,5884 Armor Steel,Steel,armor steel x 20 (3).jpg,0.5743815358747937,0.7267106997095847,0.7404513888888888
slimsam_77,foundation_sam,5884-armor-steel,5884 Armor Steel,Steel,armor steel x 20 (5).jpg,0.6257962628284255,0.7562463605939513,0.8255750868055556
slimsam_77,foundation_sam,418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (25).jpg,0.7119788790612808,0.8034997019589121,0.9755859375
slimsam_77,foundation_sam,418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (15).jpg,0.8461596169274892,0.912084250816252,0.9688313802083334
slimsam_77,foundation_sam,418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (20).jpg,0.7296700862570686,0.8197317207693386,0.9767252604166666
slimsam_77,foundation_sam,418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (3).jpg,0.748262116790142,0.8349545033347199,0.9835611979166666
slimsam_77,foundation_sam,418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (6).jpg,0.7857823516925249,0.8675615340580387,0.9742838541666666
slimsam_77,foundation_sam,418-17-4ph-x20,418 Printed 17-4 PH Steel,Steel,x20 (8).jpg,0.472048105401454,0.5594461840104579,0.8272569444444444
slimsam_77,foundation_sam,418-17-4ph-x20,418 Printed 17-4 PH Steel,Steel,x20 (18).jpg,0.483474675966505,0.492756183745583,0.9653862847222222
slimsam_77,foundation_sam,418-17-4ph-x20,418 Printed 17-4 PH Steel,Steel,x20 (19).jpg,0.4852041508410201,0.4949209900637307,0.9671223958333334
slimsam_77,foundation_sam,418-17-4ph-x20,418 Printed 17-4 PH Steel,Steel,x20 (15).jpg,0.4882063260455874,0.4986841240139815,0.9701063368055556
hed_watershed,deep_edge,4130-steel,4130 Steel,Steel,4130x20 (2).jpg,0.3839908133753984,0.4983169782428584,0.6676974826388888
hed_watershed,deep_edge,4130-steel,4130 Steel,Steel,4130x20 (17).jpg,0.3002179780882998,0.4209510250114538,0.5323350694444444
hed_watershed,deep_edge,4130-steel,4130 Steel,Steel,4130x20 (5).jpg,0.3004705602061386,0.4263456102871748,0.5244140625
hed_watershed,deep_edge,4130-steel,4130 Steel,Steel,4130x20 (7).jpg,0.2849531673103536,0.4101797871386169,0.5000542534722222
hed_watershed,deep_edge,4130-steel,4130 Steel,Steel,4130x20 (19).jpg,0.2997147585241678,0.4181884877395257,0.5351291232638888
hed_watershed,deep_edge,4130-steel,4130 Steel,Steel,4130x10 (15).jpg,0.2601453993055556,0.3422311041324673,0.5202907986111112
hed_watershed,deep_edge,4130-steel,4130 Steel,Steel,4130x20 (13).jpg,0.2893987383040006,0.4053672426252128,0.5220811631944444
hed_watershed,deep_edge,4130-steel,4130 Steel,Steel,4130x10 (13).jpg,0.2552083333333333,0.3379310344827586,0.5104166666666666
hed_watershed,deep_edge,6280-cast-iron-low,6280 Gray Cast Iron,Cast Iron,6280 x 10 (4).jpg,0.1647316261574074,0.2204955036733113,0.4941948784722222
hed_watershed,deep_edge,6280-cast-iron-low,6280 Gray Cast Iron,Cast Iron,6280 x 10 (11).jpg,0.1797688802083333,0.2335712397568067,0.539306640625
hed_watershed,deep_edge,6280-cast-iron-high,6280 Gray Cast Iron,Cast Iron,6280 x 20 (1).jpg,0.3951407059471616,0.4755732120837557,0.73974609375
hed_watershed,deep_edge,6280-cast-iron-high,6280 Gray Cast Iron,Cast Iron,6280 x 20 (4).jpg,0.3912627936961703,0.4667803801468784,0.7418891059027778
hed_watershed,deep_edge,5884-armor-steel,5884 Armor Steel,Steel,armor steel x 10 (3).jpg,0.3244086371527778,0.3935046559836794,0.6488172743055556
hed_watershed,deep_edge,5884-armor-steel,5884 Armor Steel,Steel,armor steel x 5 (2).jpg,0.2714708116319444,0.3518873397914872,0.5429416232638888
hed_watershed,deep_edge,5884-armor-steel,5884 Armor Steel,Steel,armor steel x 20 (3).jpg,0.2582058376736111,0.3405484696159281,0.5164116753472222
hed_watershed,deep_edge,5884-armor-steel,5884 Armor Steel,Steel,armor steel x 20 (5).jpg,0.3409152560763889,0.4054097646736238,0.6818305121527778
hed_watershed,deep_edge,418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (25).jpg,0.4813639322916667,0.4905050169997512,0.9627278645833334
