model_id,category,miou,dice,pixel_acc,runtime_min
sam_vit_base,foundation_sam,0.45649586346913673,0.5366057497119813,0.754550509982639,9.56250653664271
slimsam_50,foundation_sam,0.4557800695968408,0.5360646313901983,0.7540700276692709,10.006322797139486
slimsam_77,foundation_sam,0.4490284984169974,0.530237402836726,0.7514808937355323,8.904295484224955
hed_watershed,deep_edge,0.3495706420702394,0.40820609073765096,0.7099318892867478,0.1756337324778239
pidi_watershed,deep_edge,0.3474161922587018,0.39594281637143386,0.7210148564091435,0.23934818506240846
